,wt_NB_f5,wt_NB_f4
g01705,240,217
g01706,4,7
g01707,1529,1292
g01708,11,20
g01709,0,2
g01710,0,2
g01711,0,0
g01712,15,19
g01713,672,823
g01714,10,6
g01715,1,0
g01716,1955,1890
g01717,48,51
g01718,3,8
g01719,711,515
g01720,0,0
g01721,272,403
g01722,750,740
g01723,0,3
g01724,2,7
g01725,0,0
g01726,38,32
g01727,101,56
g01728,126,98
g01729,1896,1802
g01730,6705,5954
g01731,10,5
g01732,0,0
g01733,48,47
g01734,73,30
g01735,8172,11350
g01736,12,12
g01737,198,173
g01738,0,0
g01739,2166,2646
g01740,701,706
g01741,19,12
g01742,2,0
g01743,2,5
g01744,519,752
g01745,0,0
g01746,0,0
g01747,3,3
g01748,0,0
g01749,1645,1674
g01750,1,3
g01751,0,2
g01752,2,9
g01753,0,0
g01754,0,0
g01755,0,0
g01756,0,0
g01757,0,0
g01758,0,0
g01759,169,121
g01760,417,418
g01761,0,0
g01762,246,261
g01763,0,0
g01764,0,1
g01765,0,2
g01766,0,0
g01767,14,20
g01768,2,1
g01769,3,1
g01770,0,0
g01771,1,0
g01772,172,159
g01773,155,194
g01774,21,23
g01775,1,4
g01776,158,174
g01777,5,1
g01778,55,79
g01779,26,27
g01780,8148,2976
g01781,1273,499
g01782,0,0
g01783,0,0
g01784,31,35
g01785,593,591
g01786,7,19
g01787,3,2
g01788,168,354
g01789,418,900
g01790,0,0
g01791,0,0
g01792,0,0
g01793,0,2
g01794,374,473
g01795,117,121
g01796,1844,1869
g01797,15,6
g01798,73,79
g01799,0,0
g01800,37,28
g01801,46,27
g01802,2479,2337
g01803,117,66
g01804,0,0
g01805,0,0
g01806,217,256
g01807,735,439
g01808,647,534
g01809,123,116
g01810,372,575
g01811,125,150
g01812,177,156
g01813,49,28
g01814,22,17
g01815,6461,3953
g01816,11,20
g01817,30,27
g01818,0,0
g01819,153,131
g01820,128,194
g01821,15,25
g01822,0,2
g01823,0,0
g01824,11,5
g01825,5048,5973
g01826,1,1
g01827,317,424
g01828,43,48
g01829,0,0
g01830,159,155
g01831,1,4
g01832,1099,864
g01833,136,153
g01834,307,311
g01835,2,3
g01836,962,705
g01837,975,971
g01838,298,276
g01839,9,9
g01840,44,27
g01841,0,0
g01842,5,1
g01843,1,1
g01844,218,213
g01845,0,0
g01846,102,168
g01847,1,0
g01848,1603,1161
g01849,13,8
g01850,0,0
g01851,221,175
g01852,38,25
g01853,525,627
g01854,20,16
g01855,189,164
g01856,1291,962
g01857,270,190
g01858,376,418
g01859,1,2
g01860,716,982
g01861,2,2
g01862,34,31
g01863,321,301
g01864,20,22
g01865,609,596
g01866,313,244
g01867,3,6
g01868,0,0
g01869,0,0
g01870,5,5
g01871,194,152
g01872,1306,1232
g01873,142,104
g01874,201,208
g01875,14,22
g01876,1,2
g01877,0,1
g01878,2,0
g01879,0,0
g01880,0,0
g01881,1442,1736
g01882,2350,3003
g01883,48,69
g01884,332,383
g01885,372,348
g01886,0,1
g01887,4,3
g01888,2,4
g01889,2034,2185
g01890,0,0
g01891,0,0
g01892,0,1
g01893,8,7
g01894,456,786
g01895,49,45
g01896,38,31
g01897,1632,1520
g01898,1593,1589
g01899,1,1
g01900,1,0
g01901,14,6
g01902,123,121
g01903,0,0
g01904,6,5
g01905,0,0
g01906,145,113
g01907,103,104
g01908,107,116
g01909,291,208
g01910,0,0
g01911,0,0
g01912,0,0
g01913,149,146
g01914,0,0
g01915,2,0
g01916,1,3
g01917,0,0
g01918,4,0
g01919,0,1
g01920,341,290
g01921,356,339
g01922,2,1
g01923,0,0
g01924,1,0
g01925,0,0
g01926,90,138
g01927,214,87
g01928,1,1
g01929,0,1
g01930,4,4
g01931,0,0
g01932,4190,2273
g01933,766,705
g01934,35,34
g01935,69,73
g01936,0,1
g01937,0,0
g01938,8,4
g01939,696,372
g01940,6,12
g01941,409,384
g01942,1,5
g01943,11,12
g01944,87,27
g01945,6,1
g01946,0,0
g01947,0,0
g01948,87,109
g01949,0,0
g01950,0,0
g01951,59,66
g01952,3,6
g01953,5,7
g01954,792,990
g01955,700,658
g01956,35,33
g01957,1,3
g01958,46,44
g01959,369,312
g01960,1842,1278
g01961,146,133
g01962,2,2
g01963,0,0
g01964,144,144
g01965,52,50
g01966,253,221
g01967,15,34
g01968,0,0
g01969,90,57
g01970,263,334
g01971,1,0
g01972,167,123
g01973,149,145
g01974,1,1
g01975,174,209
g01976,7,12
g01977,728,922
g01978,674,646
g01979,726,787
g01980,1,3
g01981,10,16
g01982,8,26
g01983,6,15
g01984,5,22
g01985,2,8
g01986,2,15
g01987,2,15
g01988,15,23
g01989,0,4
g01990,5,12
g01991,2,6
g01992,1,5
g01993,0,0
g01994,1,2
g01995,2,3
g01996,1,4
g01997,0,1
g01998,2,7
g01999,4,14
g02000,1,5
g02001,3,5
g02002,58,67
g02003,7,8
g02004,69,35
g02005,4,9
g02006,34,43
g02007,3025,1601
g02008,0,2
g02009,5,11
g02010,46,33
g02011,150,132
g02012,315,272
g02013,226,167
g02014,1644,1535
g02015,3172,2340
g02016,1169,971
g02017,889,1367
g02018,121,50
g02019,0,0
g02020,0,0
g02021,1674,2006
g02022,32,27
g02023,2,0
g02024,16543,12796
g02025,2,0
g02026,0,1
g02027,0,0
g02028,0,0
g02029,0,0
g02030,0,0
g02031,0,0
g02032,0,0
g02033,1,0
g02034,1,0
g02035,327,316
g02036,0,0
g02037,0,0
g02038,0,0
g02039,0,0
g02040,455,485
g02041,935,1274
g02042,0,0
g02043,2,3
g02044,0,5
g02045,0,0
g02046,0,0
g02047,1,1
g02048,130,97
g02049,846,598
g02050,20,14
g02051,2996,2414
g02052,4,10
g02053,267,238
g02054,176,405
g02055,1075,975
g02056,213,253
g02057,169,195
g02058,39,29
g02059,655,522
g02060,0,2
g02061,103,94
g02062,2279,1772
g02063,361,257
g02064,1,1
g02065,0,0
g02066,2,2
g02067,2,5
g02068,390,340
g02069,268,193
g02070,456,328
g02071,10,18
g02072,428,323
g02073,426,388
g02074,42,72
g02075,2061,2382
g02076,654,439
g02077,877,919
g02078,37,56
g02079,316,283
g02080,54,38
g02081,1110,1359
g02082,809,693
g02083,750,542
g02084,2526,1980
g02085,1071,887
g02086,2589,2638
g02087,532,819
g02088,48,49
g02089,30,34
g02090,143,192
g02091,467,355
g02092,9,8
g02093,880,905
g02094,9,8
g02095,2400,2490
g02096,29,45
g02097,222,290
g02098,24,21
g02099,409,266
g02100,59,75
g02101,1,0
g02102,133,181
g02103,352,283
g02104,532,478
g02105,532,478
g02106,488,508
g02107,2,0
g02108,0,1
g02109,480,430
g02110,226,198
g02111,654,556
g02112,52,70
g02113,38,46
g02114,579,442
g02115,1068,1111
g02116,264,208
g02117,3088,2450
g02118,181,95
g02119,13,24
g02120,1437,1573
g02121,593,680
g02122,193,123
g02123,211,127
g02124,1,4
g02125,4,4
g02126,182,149
g02127,5,7
g02128,22,7
g02129,5,2
g02130,243,257
g02131,7,10
g02132,299,258
g02133,195,229
g02134,293,811
g02135,242,221
g02136,71,69
g02137,446,429
g02138,1021,1076
g02139,5313,6235
g02140,18,24
g02141,1635,1721
g02142,2083,2536
g02143,255,248
g02144,25107,28926
g02145,9,8
g02146,2586,3375
g02147,487,426
g02148,1,0
g02149,0,3
g02150,2,4
g02151,104,74
g02152,25,19
g02153,332,348
g02154,406,369
g02155,16,21
g02156,1475,1464
g02157,458,639
g02158,255,298
g02159,2,3
g02160,0,0
g02161,736,833
g02162,79,113
g02163,52,76
g02164,413,464
g02165,635,679
g02166,23,15
g02167,14,4
g02168,134,124
g02169,64,15
g02170,1035,778
g02171,47,99
g02172,337,500
g02173,338,344
g02174,2388,1663
g02175,13,10
g02176,3,3
g02177,8,7
g02178,109,119
g02179,397,327
g02180,0,2
g02181,0,0
g02182,4,6
g02183,0,0
g02184,0,0
g02185,0,0
g02186,0,0
g02187,0,0
g02188,5,3
g02189,1,3
g02190,23,20
g02191,6,4
g02192,34,28
g02193,30,20
g02194,0,0
g02195,15,11
g02196,0,0
g02197,0,0
g02198,22,21
g02199,74,77
g02200,13,16
g02201,129,137
g02202,103,93
g02203,2,1
g02204,3125,4474
g02205,410,559
g02206,28,24
g02207,0,1
g02208,221,177
g02209,257,173
g02210,406,460
g02211,1117,1699
g02212,3,3
g02213,171,184
g02214,1076,828
g02215,3,1
g02216,279,387
g02217,12,21
g02218,362,332
g02219,0,0
g02220,0,0
g02221,35,34
g02222,2,2
g02223,36,33
g02224,27,18
g02225,475,351
g02226,349,258
g02227,0,0
g02228,0,0
g02229,0,1
g02230,256,244
g02231,519,598
g02232,7,12
g02233,907,821
g02234,5016,6361
g02235,227,183
g02236,78,75
g02237,0,0
g02238,96,105
g02239,0,1
g02240,0,1
g02241,0,0
g02242,4,3
g02243,1597,1196
g02244,7,10
g02245,56,24
g02246,3,1
g02247,0,0
g02248,0,0
g02249,0,0
g02250,1,1
g02251,0,0
g02252,14,10
g02253,0,0
g02254,0,0
g02255,3,1
g02256,9,10
g02257,3,0
g02258,29,20
g02259,157,195
g02260,0,3
g02261,394,274
g02262,3,2
g02263,38,16
g02264,138,70
g02265,0,0
g02266,0,0
g02267,216,239
g02268,552,443
g02269,233,292
g02270,2,2
g02271,102,129
g02272,0,3
g02273,1,0
g02274,322,343
g02275,21,24
g02276,161,134
g02277,45,6
g02278,0,0
g02279,61,90
g02280,27,19
g02281,1603,1390
g02282,511,523
g02283,650,524
g02284,3,4
g02285,0,0
g02286,0,1
g02287,0,0
g02288,0,0
g02289,0,0
g02290,67,41
g02291,0,0
g02292,3,5
g02293,309,331
g02294,3,0
g02295,40,54
g02296,0,1
g02297,612,363
g02298,16887,20582
g02299,1,2
g02300,44,25
g02301,164,143
g02302,91,80
g02303,15,19
g02304,0,0
g02305,0,0
g02306,2,2
g02307,930,837
g02308,0,0
g02309,0,0
g02310,324,332
g02311,419,456
g02312,65,43
g02313,136,116
g02314,95,75
g02315,0,0
g02316,3700,3874
g02317,51,47
g02318,177,182
g02319,39,43
g02320,73,63
g02321,2,0
g02322,234,116
g02323,16,22
g02324,233,216
g02325,150,172
g02326,725,1022
g02327,1,0
g02328,942,924
g02329,1,0
g02330,3056,3561
g02331,0,0
g02332,0,0
g02333,314,215
g02334,64,66
g02335,0,0
g02336,0,0
g02337,1,0
g02338,0,0
g02339,0,0
g02340,0,0
g02341,0,0
g02342,601,551
g02343,30,25
g02344,138,91
g02345,20,16
g02346,391,189
g02347,0,0
g02348,0,0
g02349,0,1
g02350,81,57
g02351,0,0
g02352,0,0
g02353,0,0
g02354,0,0
g02355,0,0
g02356,0,0
g02357,394,439
g02358,119,134
g02359,246,306
g02360,0,0
g02361,0,0
g02362,0,0
g02363,9,7
g02364,547,423
g02365,3,0
g02366,0,5
g02367,3,3
g02368,0,0
g02369,0,0
g02370,0,0
g02371,0,0
g02372,0,0
g02373,14,16
g02374,0,1
g02375,96,79
g02376,290,235
g02377,1,0
g02378,0,0
g02379,1,0
g02380,0,1
g02381,2,4
g02382,0,0
g02383,0,1
g02384,0,0
g02385,18,8
g02386,2127,2841
g02387,213,192
g02388,6,5
g02389,0,0
g02390,1060,644
g02391,0,0
g02392,124,32
g02393,0,0
g02394,22,14
g02395,50,35
g02396,0,0
g02397,534,466
g02398,6,3
g02399,388,277
g02400,1,3
g02401,124,71
g02402,0,0
g02403,1,0
g02404,370,238
g02405,56,37
g02406,0,0
g02407,0,0
g02408,0,0
g02409,0,0
g02410,1,0
g02411,0,0
g02412,1562,1241
g02413,1,0
g02414,0,1
g02415,13,10
g02416,260,190
g02417,0,0
g02418,466,477
g02419,0,3
g02420,384,405
g02421,38,57
g02422,1058,1135
g02423,10,21
g02424,0,3
g02425,2,1
g02426,9,5
g02427,0,0
g02428,0,0
g02429,14,4
g02430,14,14
g02431,5,5
g02432,0,2
g02433,858,655
g02434,36,33
g02435,0,0
g02436,1,0
g02437,132,163
g02438,7,0
g02439,0,0
g02440,1,0
g02441,0,1
g02442,0,0
g02443,0,2
g02444,558,574
g02445,1675,1586
g02446,506,403
g02447,279,272
g02448,0,0
g02449,8,18
g02450,0,0
g02451,770,849
g02452,4533,6710
g02453,625,642
g02454,38,36
g02455,189,175
g02456,297,350
g02457,455,506
g02458,0,0
g02459,34,23
g02460,0,0
g02461,0,0
g02462,0,0
g02463,0,0
g02464,0,0
g02465,0,0
g02466,0,0
g02467,0,0
g02468,0,0
g02469,380,289
g02470,1,0
g02471,1,0
g02472,0,0
g02473,1261,1138
g02474,0,0
g02475,96,70
g02476,8,5
g02477,164,135
g02478,87,106
g02479,243,233
g02480,22,15
g02481,28,20
g02482,10,10
g02483,1,0
g02484,4,0
g02485,0,0
g02486,0,0
g02487,1,0
g02488,28,25
g02489,3,2
g02490,311,320
g02491,14,23
g02492,0,0
g02493,6,5
g02494,445,366
g02495,233,232
g02496,358,405
g02497,783,573
g02498,0,1
g02499,63,39
g02500,313,282
g02501,1,1
g02502,5,3
g02503,114,116
g02504,1,0
g02505,1,0
g02506,0,0
g02507,24,31
g02508,2,0
g02509,1699,1726
g02510,1111,1140
g02511,0,2
g02512,1,0
g02513,0,0
g02514,0,0
g02515,5,11
g02516,1005,870
g02517,13,10
g02518,2441,2818
g02519,2,2
g02520,149,178
g02521,68,48
g02522,102,102
g02523,30,33
g02524,91,58
g02525,11,6
g02526,393,341
g02527,878,608
g02528,434,334
g02529,7,14
g02530,9,21
g02531,2057,2001
g02532,390,339
g02533,15,24
g02534,16,18
g02535,125,73
g02536,65,67
g02537,468,508
g02538,22,43
g02539,1433,1807
g02540,350,377
g02541,60,72
g02542,539,474
g02543,25,32
g02544,122,144
g02545,0,0
g02546,0,0
g02547,801,660
g02548,9,11
g02549,5041,1481
g02550,491,395
g02551,76,13
g02552,6364,5251
g02553,1784,1832
g02554,342,507
g02555,7,11
g02556,67,93
g02557,5,0
g02558,0,0
g02559,505,519
g02560,9,6
g02561,1011,1735
g02562,964,1425
g02563,17,10
g02564,8,1
g02565,0,0
g02566,24,15
g02567,1,0
g02568,4112,7124
g02569,0,0
g02570,81,100
g02571,685,751
g02572,328,249
g02573,167,122
g02574,6361,5245
g02575,2,2
g02576,3064,3054
g02577,506,488
g02578,14,15
g02579,135,105
g02580,1,3
g02581,62,52
g02582,3,10
g02583,0,2
g02584,114,151
g02585,2,2
g02586,505,553
g02587,241,225
g02588,3828,3570
g02589,86,77
g02590,505,603
g02591,4,5
g02592,217,191
g02593,367,474
g02594,1140,1171
g02595,616,639
g02596,11,7
g02597,10,21
g02598,64,84
g02599,33,43
g02600,2734,2855
g02601,3997,3488
g02602,2914,4405
g02603,0,0
g02604,2803,2743
g02605,58,51
g02606,110,48
g02607,527,602
g02608,138,137
g02609,179,224
g02610,1156,1162
g02611,194,178
g02612,21,15
g02613,46,51
g02614,651,689
g02615,675,597
g02616,31,32
g02617,6,6
g02618,153,115
g02619,10,21
g02620,129,138
g02621,14,13
g02622,0,0
g02623,0,0
g02624,0,0
g02625,0,0
g02626,0,0
g02627,0,0
g02628,0,0
g02629,0,0
g02630,0,0
g02631,0,0
g02632,0,0
g02633,0,0
g02634,0,0
g02635,0,0
g02636,0,0
g02637,0,0
g02638,0,0
g02639,0,0
g02640,0,0
g02641,0,0
g02642,0,0
g02643,0,0
g02644,0,0
g02645,0,0
g02646,0,0
g02647,0,0
g02648,0,0
g02649,0,0
g02650,0,0
g02651,0,0
g02652,0,0
g02653,0,0
g02654,0,0
g02655,0,0
g02656,0,0
g02657,0,0
g02658,0,0
g02659,0,0
g02660,0,0
g02661,0,0
g02662,0,0
g02663,0,0
g02664,0,0
g02665,0,0
g02666,0,0
g02667,0,0
g02668,0,0
g02669,0,0
g02670,0,0
g02671,0,0
g02672,0,0
g02673,0,0
g02674,0,0
g02675,0,0
g02676,0,0
g02677,0,0
g02678,0,0
g02679,0,0
g02680,0,0
g02681,0,0
g02682,0,1
g02683,0,2
g02684,0,1
g02685,0,0
g02686,0,0
g02687,0,0
g02688,0,0
g02689,36,47
g02690,112,230
g02691,652,670
g02692,353,377
g02693,58,76
g02694,12,19
g02695,3,6
g02696,78,90
g02697,4833,5909
g02698,526,670
g02699,72,71
g02700,435,652
g02701,41,31
g02702,5,7
g02703,116,107
g02704,1059,1195
g02705,463,443
g02706,3,6
g02707,36,29
g02708,494,610
g02709,388,594
g02710,1026,1563
g02711,585,555
g02712,58,47
g02713,726,662
g02714,43,92
g02715,0,0
g02716,90,82
g02717,0,0
g02718,10,8
g02719,374,279
g02720,101,129
g02721,3,3
g02722,46,40
g02723,799,598
g02724,1025,869
g02725,165,65
g02726,2,5
g02727,0,4
g02728,0,1
g02729,1996,2474
g02730,0,2
g02731,734,744
g02732,464,445
g02733,61,36
g02734,1,1
g02735,827,730
g02736,50,47
g02737,469,435
g02738,3,5
g02739,1725,1930
g02740,83,69
g02741,747,985
g02742,25,37
g02743,1509,1501
g02744,44,80
g02745,7,6
g02746,1348,1692
g02747,624,479
g02748,993,790
g02749,69,95
g02750,1,0
g02751,5,4
g02752,210,189
g02753,118,107
g02754,32,38
g02755,2206,1919
g02756,109,145
g02757,330,314
g02758,19,23
g02759,177,102
g02760,100,37
g02761,25,19
g02762,1624,1650
g02763,3,8
g02764,61,58
g02765,666,612
g02766,6,5
g02767,114,135
g02768,625,533
g02769,29,17
g02770,170,179
g02771,4428,3860
g02772,1080,943
g02773,125,109
g02774,139,157
g02775,1900,2127
g02776,24,25
g02777,1,0
g02778,62,37
g02779,77,60
g02780,39,22
g02781,478,350
g02782,0,7
g02783,0,1
g02784,1,0
g02785,7,1
g02786,0,0
g02787,0,0
g02788,10,11
g02789,0,0
g02790,0,0
g02791,76,61
g02792,0,0
g02793,131,211
g02794,0,2
g02795,81,74
g02796,6,27
g02797,696,939
g02798,1,3
g02799,3,0
g02800,1,2
g02801,4,8
g02802,5,2
g02803,1,1
g02804,11,23
g02805,13,10
g02806,2,1
g02807,0,0
g02808,180,159
g02809,5052,6745
g02810,240,378
g02811,0,0
g02812,0,0
g02813,1,1
g02814,5,3
g02815,2,1
g02816,1761,1480
g02817,229,128
g02818,1,0
g02819,2,3
g02820,18,19
g02821,1,1
g02822,573,548
g02823,227,183
g02824,29,56
g02825,100,86
g02826,63,61
g02827,0,0
g02828,93,138
g02829,1,2
g02830,0,0
g02831,0,1
g02832,57,57
g02833,1179,1223
g02834,2282,2046
g02835,274,274
g02836,71,84
g02837,679,803
g02838,1981,1785
g02839,2416,4133
g02840,1377,2049
g02841,838,1021
g02842,240,167
g02843,1,0
g02844,0,0
g02845,940,694
g02846,15,13
g02847,2,0
g02848,45,52
g02849,15,13
g02850,199,213
g02851,161,146
g02852,45,48
g02853,793,685
g02854,6,1
g02855,5,8
g02856,718,646
g02857,3011,3080
g02858,397,444
g02859,2,4
g02860,1,5
g02861,1,2
g02862,130,197
g02863,1093,1282
g02864,375,513
g02865,118,113
g02866,174,161
g02867,0,0
g02868,261,240
g02869,3,3
g02870,0,1
g02871,0,0
g02872,0,2
g02873,49,41
g02874,28,24
g02875,0,0
g02876,2,0
g02877,0,0
g02878,0,0
g02879,0,0
g02880,0,0
g02881,21,28
g02882,122,107
g02883,1061,1270
g02884,51,36
g02885,20,32
g02886,33,32
g02887,127,109
g02888,16,19
g02889,1,0
g02890,2101,2159
g02891,98,92
g02892,3,3
g02893,3953,3180
g02894,0,0
g02895,0,2
g02896,2777,2951
g02897,3,6
g02898,70,84
g02899,45,43
g02900,20,40
g02901,21,8
g02902,655,479
g02903,1266,1136
g02904,2,4
g02905,85,14
g02906,24,3
g02907,0,2
g02908,0,0
g02909,247,215
g02910,778,957
g02911,120,136
g02912,178,192
g02913,40,205
g02914,3,3
g02915,40,205
g02916,0,1
g02917,20,122
g02918,0,0
g02919,172,197
g02920,169,141
g02921,4,2
g02922,1588,2077
g02923,893,787
g02924,0,0
g02925,1,1
g02926,838,804
g02927,18,10
g02928,1,2
g02929,34,34
g02930,323,343
g02931,7,7
g02932,2,3
g02933,1,3
g02934,11,7
g02935,0,0
g02936,47,32
g02937,3,4
g02938,21,27
g02939,28,13
g02940,0,0
g02941,551,445
g02942,0,0
g02943,0,2
g02944,1729,1842
g02945,769,852
g02946,100,110
g02947,281,207
g02948,0,0
g02949,218,279
g02950,31,21
g02951,79,69
g02952,269,287
g02953,0,1
g02954,0,0
g02955,0,0
g02956,0,0
g02957,22,22
g02958,1100,1626
g02959,0,0
g02960,149,137
g02961,564,588
g02962,8,3
g02963,7,4
g02964,5,11
g02965,169,238
g02966,266,366
g02967,0,0
g02968,0,0
g02969,48,54
g02970,366,378
g02971,10,7
g02972,0,0
g02973,0,0
g02974,2014,1666
g02975,97,103
g02976,76,66
g02977,10,7
g02978,290,376
g02979,3468,4153
g02980,527,735
g02981,1647,2861
g02982,22,21
g02983,3,2
g02984,1,0
g02985,73,64
g02986,12,13
g02987,0,0
g02988,0,0
g02989,0,0
g02990,0,0
g02991,0,0
g02992,0,1
g02993,1,0
g02994,0,2
g02995,0,0
g02996,2,4
g02997,4644,5824
g02998,8626,10443
g02999,29,17
g03000,4,3
g03001,720,668
g03002,389,252
g03003,334,177
g03004,2,9
g03005,1,1
g03006,0,0
g03007,0,1
g03008,0,0
g03009,0,1
g03010,0,0
g03011,0,0
g03012,0,0
g03013,0,0
g03014,0,0
g03015,0,0
g03016,0,0
g03017,154,149
g03018,439,289
g03019,0,0
g03020,0,0
g03021,0,0
g03022,0,0
g03023,0,0
g03024,0,0
g03025,0,0
g03026,0,0
g03027,0,0
g03028,0,0
g03029,0,0
g03030,0,0
g03031,0,0
g03032,0,0
g03033,0,0
g03034,3,2
g03035,0,1
g03036,877,824
g03037,1,0
g03038,3,4
g03039,106,117
g03040,1,0
g03041,176,165
g03042,0,0
g03043,764,607
g03044,47,67
g03045,876,1044
g03046,52,87
g03047,3,10
g03048,443,462
g03049,3063,2589
g03050,0,0
g03051,1142,1071
g03052,664,779
g03053,18,13
g03054,13,8
g03055,1,1
g03056,1,0
g03057,7,1
g03058,25,27
g03059,1,2
g03060,0,0
g03061,0,0
g03062,0,0
g03063,0,0
g03064,0,0
g03065,0,0
g03066,4,3
g03067,0,0
g03068,0,0
g03069,0,1
g03070,286,367
g03071,27,36
g03072,186,173
g03073,2999,2281
g03074,1159,1133
g03075,535,677
g03076,506,853
g03077,114,212
g03078,70,89
g03079,628,646
g03080,813,891
g03081,355,408
g03082,175,186
g03083,134,156
g03084,443,493
g03085,24,37
g03086,3433,3578
g03087,16,11
g03088,4,5
g03089,0,0
g03090,0,0
g03091,1150,968
g03092,14,29
g03093,0,0
g03094,1727,1123
g03095,337,245
g03096,5,21
g03097,1,1
g03098,1668,1421
g03099,15,10
g03100,4187,3363
g03101,9,7
g03102,282,131
g03103,1,0
g03104,0,2
g03105,0,2
g03106,0,0
g03107,13,6
g03108,0,1
g03109,4488,5008
g03110,1,1
g03111,253,236
g03112,1,0
g03113,1,1
g03114,216,232
g03115,0,0
g03116,10,15
g03117,0,0
g03118,73,46
g03119,68,112
g03120,887,1243
g03121,964,971
g03122,224,216
g03123,0,0
g03124,0,0
g03125,0,0
g03126,111,10
g03127,28,0
g03128,0,0
g03129,274,252
g03130,708,1006
g03131,242,150
g03132,0,0
g03133,12,9
g03134,497,791
g03135,23,27
g03136,510,601
g03137,134,141
g03138,4,4
g03139,69,202
g03140,5123,7044
g03141,9,8
g03142,117,25
g03143,13,1
g03144,0,1
g03145,916,917
g03146,864,1248
g03147,166,127
g03148,449,372
g03149,1098,1506
g03150,761,504
g03151,6,3
g03152,0,0
g03153,0,0
g03154,1,2
g03155,927,1118
g03156,272,250
g03157,180,183
g03158,12,5
g03159,118,164
g03160,2,2
g03161,2224,1602
g03162,29,33
g03163,0,0
g03164,139,140
g03165,246,195
g03166,38,32
g03167,1,4
g03168,6,4
g03169,10,5
g03170,945,1029
g03171,663,683
g03172,472,594
g03173,897,1427
g03174,1,1
g03175,0,0
g03176,0,0
g03177,0,0
g03178,0,0
g03179,0,0
g03180,0,0
g03181,0,0
g03182,0,0
g03183,0,0
g03184,0,0
g03185,1,0
g03186,0,0
g03187,0,0
g03188,0,0
g03189,0,0
g03190,0,0
g03191,0,0
g03192,0,0
g03193,0,0
g03194,0,0
g03195,0,0
g03196,0,0
g03197,0,0
g03198,0,0
g03199,0,0
g03200,0,0
g03201,0,0
g03202,0,0
g03203,14,27
g03204,30,22
g03205,74,77
g03206,0,0
g03207,1195,1161
g03208,48,31
g03209,6,8
g03210,374,343
g03211,0,1
g03212,3,5
g03213,258,256
g03214,25,21
g03215,0,0
g03216,88,77
g03217,4,2
g03218,19,15
g03219,368,379
g03220,83,116
g03221,225,187
g03222,162,171
g03223,1523,1609
g03224,17,8
g03225,1,3
g03226,0,2
g03227,297,248
g03228,189,263
g03229,66,85
g03230,64,59
g03231,14,29
g03232,1,1
g03233,0,0
g03234,0,0
g03235,1,0
g03236,4784,5965
g03237,103,79
g03238,53,13
g03239,243,197
g03240,38,33
g03241,328,283
g03242,45,55
g03243,0,0
g03244,159,129
g03245,7,15
g03246,11,7
g03247,217,182
g03248,8,15
g03249,1504,1931
g03250,2459,2839
g03251,32,31
g03252,281,291
g03253,467,486
g03254,406,342
g03255,12,28
g03256,789,783
g03257,0,0
g03258,778,961
g03259,760,845
g03260,39,36
g03261,0,0
g03262,107,91
g03263,347,332
g03264,107,111
g03265,0,0
g03266,106,80
g03267,303,258
g03268,386,723
g03269,37,82
g03270,1206,1739
g03271,1135,1414
g03272,2,1
g03273,1246,1117
g03274,1,4
g03275,532,649
g03276,73,100
g03277,0,2
g03278,7,17
g03279,0,0
g03280,0,0
g03281,22,17
g03282,166,183
g03283,3,1
g03284,38,16
g03285,839,962
g03286,585,703
g03287,397,505
g03288,3855,4422
g03289,34,49
g03290,147,198
g03291,235,253
g03292,39,29
g03293,61,39
g03294,114,85
g03295,20,7
g03296,160,117
g03297,2518,2095
g03298,44,50
g03299,4,3
g03300,2,1
g03301,591,610
g03302,585,605
g03303,16,19
g03304,4,4
g03305,114,148
g03306,7,11
g03307,7,7
g03308,0,1
g03309,75,62
g03310,127,59
g03311,12,16
g03312,5,5
g03313,272,409
g03314,38,68
g03315,156,190
g03316,0,0
g03317,0,0
g03318,18,18
g03319,240,227
g03320,116,58
g03321,12,8
g03322,5,3
g03323,6,3
g03324,535,416
g03325,10,15
g03326,0,0
g03327,0,0
g03328,3155,4927
g03329,12,3
g03330,483,467
g03331,68,26
g03332,2,0
g03333,0,0
g03334,1,1
g03335,3,2
g03336,18,8
g03337,62,71
g03338,279,304
g03339,0,0
g03340,0,1
g03341,0,2
g03342,1,0
g03343,167,216
g03344,24,29
g03345,0,0
g03346,318,505
g03347,5283,8818
g03348,33,41
g03349,53,83
g03350,0,0
g03351,2,3
g03352,159,91
g03353,36,31
g03354,0,4
g03355,218,248
g03356,9,29
g03357,18,39
g03358,25,28
g03359,4,13
g03360,5,4
g03361,4,5
g03362,0,0
g03363,222,261
g03364,3062,5368
g03365,636,773
g03366,751,887
g03367,0,2
g03368,5,3
g03369,23,19
g03370,9,9
g03371,437,333
g03372,1,5
g03373,153,135
g03374,49,32
g03375,301,427
g03376,53,31
g03377,3,6
g03378,882,727
g03379,2512,1949
g03380,3,2
g03381,10,2
g03382,4383,5900
g03383,9807,8920
g03384,4,18
g03385,3,2
g03386,73,110
g03387,542,554
g03388,30,26
g03389,2040,4698
g03390,1080,896
g03391,8,8
g03392,174,168
g03393,66,57
g03394,484,340
g03395,1,8
g03396,9,7
g03397,63,59
g03398,240,141
g03399,1,2
g03400,0,0
g03401,4,5
g03402,705,837
g03403,2,0
g03404,19,18
g03405,511,541
g03406,0,0
g03407,103,177
g03408,658,624
g03409,649,572
g03410,45,26
g03411,42,38
g03412,41,36
g03413,11,15
