,het_NB_f4,het_NB_f5
g01460,1756,1630
g01461,257,215
g01462,2,0
g01463,1554,1264
g01464,22,69
g01465,25,155
g01466,60,48
g01467,24,29
g01468,51,57
g01469,0,0
g01470,5,10
g01471,745,776
g01472,1,4
g01473,0,0
g01474,10,31
g01475,29,31
g01476,0,1
g01477,0,0
g01478,0,0
g01479,7,2
g01480,186,158
g01481,2,6
g01482,43,41
g01483,267,195
g01484,23,20
g01485,44,46
g01486,27,20
g01487,950,975
g01488,519,347
g01489,404,237
g01490,100,38
g01491,546,334
g01492,0,0
g01493,0,0
g01494,2535,2087
g01495,146,210
g01496,851,664
g01497,3,11
g01498,19,45
g01499,0,0
g01500,793,741
g01501,0,3
g01502,8,23
g01503,1,1
g01504,0,0
g01505,0,0
g01506,425,330
g01507,127,120
g01508,3,13
g01509,2243,2027
g01510,4,3
g01511,222,160
g01512,339,347
g01513,1080,1701
g01514,120,171
g01515,0,2
g01516,287,276
g01517,136,209
g01518,330,319
g01519,481,319
g01520,103,101
g01521,121,121
g01522,841,819
g01523,45,51
g01524,43,85
g01525,0,1
g01526,295,229
g01527,0,0
g01528,1,0
g01529,0,0
g01530,63,169
g01531,1531,1822
g01532,3,5
g01533,3068,1717
g01534,176,134
g01535,508,524
g01536,3,5
g01537,40,34
g01538,916,1260
g01539,2041,1337
g01540,5,5
g01541,0,0
g01542,0,0
g01543,64355,46729
g01544,54,94
g01545,0,0
g01546,0,0
g01547,677,731
g01548,140,32
g01549,5,3
g01550,3,2
g01551,297,205
g01552,183,203
g01553,1234,859
g01554,14,13
g01555,10,11
g01556,1190,1259
g01557,2,4
g01558,3,32
g01559,76,73
g01560,0,6
g01561,2,4
g01562,10,22
g01563,618,445
g01564,115,92
g01565,0,0
g01566,0,0
g01567,0,0
g01568,0,0
g01569,929,700
g01570,0,0
g01571,3,10
g01572,0,0
g01573,0,1
g01574,0,0
g01575,0,1
g01576,0,0
g01577,26,36
g01578,52,48
g01579,0,0
g01580,0,0
g01581,0,0
g01582,2,9
g01583,42,49
g01584,3,8
g01585,13,20
g01586,15,35
g01587,0,5
g01588,1,11
g01589,0,0
g01590,0,0
g01591,0,0
g01592,0,0
g01593,0,0
g01594,0,0
g01595,0,0
g01596,0,0
g01597,0,0
g01598,0,0
g01599,0,0
g01600,0,0
g01601,0,0
g01602,0,0
g01603,0,0
g01604,118,153
g01605,15,28
g01606,44,130
g01607,14,51
g01608,4,11
g01609,1,5
g01610,435,369
g01611,275,80
g01612,62,81
g01613,56,213
g01614,0,0
g01615,0,0
g01616,0,0
g01617,1,6
g01618,0,1
g01619,0,1
g01620,146,159
g01621,0,0
g01622,73,78
g01623,46,351
g01624,0,0
g01625,1012,934
g01626,0,1
g01627,0,0
g01628,0,0
g01629,0,0
g01630,2,1
g01631,2,6
g01632,942,1038
g01633,1412,1266
g01634,1,44
g01635,1,9
g01636,4,13
g01637,48,41
g01638,37,40
g01639,78,55
g01640,8,14
g01641,3,12
g01642,70,66
g01643,34,54
g01644,1,4
g01645,651,819
g01646,2,3
g01647,2,4
g01648,1,1
g01649,0,0
g01650,0,0
g01651,0,0
g01652,0,0
g01653,3,12
g01654,78,83
g01655,7,16
g01656,59,48
g01657,0,0
g01658,5,21
g01659,49,24
g01660,0,1
g01661,149,375
g01662,386,446
g01663,211,244
g01664,125,143
g01665,65,55
g01666,18,34
g01667,0,0
g01668,3,0
g01669,773,616
g01670,411,1015
g01671,0,0
g01672,24,253
g01673,0,2
g01674,10,28
g01675,0,1
g01676,248,312
g01677,7,8
g01678,397,271
g01679,25,39
g01680,597,714
g01681,11,16
g01682,1,5
g01683,4,2
g01684,0,0
g01685,4,2
g01686,4,7
g01687,0,2
g01688,68,75
g01689,60,69
g01690,146,132
g01691,47,49
g01692,55,43
g01693,646,431
g01694,0,0
g01695,0,0
g01696,4,0
g01697,200,156
g01698,8,3
g01699,0,0
g01700,0,0
g01701,331,334
g01702,0,0
g01703,94,83
g01704,32,103
